primary_key,employee_number,datetime_processed,termination_date,termination_type_code,termination_reason_code,is_termination_cleared
100061_2018-09-30,100061,2018-09-30,2018-09-30,V,101,True
100063_2018-08-18,100063,2018-08-18,2018-08-18,I,206,True
100064_2020-01-28,100064,2020-01-28,2020-01-28,I,205,True
100070_2022-12-13,100070,2022-12-13,2022-12-13,V,101,True
100074_2021-07-24,100074,2021-07-24,2021-07-24,V,102,True
100077_2024-08-24,100077,2024-08-24,2024-08-24,I,200,True
100078_2021-06-09,100078,2021-06-09,2021-06-09,V,101,True
100079_2020-04-05,100079,2020-04-05,2020-04-05,V,102,True
100081_2019-01-07,100081,2019-01-07,2019-01-07,V,101,True
100082_2024-11-30,100082,2024-11-30,2024-11-30,V,102,True
100087_2019-01-03,100087,2019-01-03,2019-01-03,V,101,True
100088_2019-09-27,100088,2019-09-27,2019-09-27,I,200,True
100090_2022-09-25,100090,2022-09-25,2022-09-25,I,205,True
100092_2018-07-29,100092,2018-07-29,2018-07-29,I,201,True
100094_2020-07-22,100094,2020-07-22,2020-07-22,V,101,True
100095_2021-11-28,100095,2021-11-28,2021-11-28,I,205,True
100096_2018-07-17,100096,2018-07-17,2018-07-17,I,200,True
100097_2019-01-21,100097,2019-01-21,2019-01-21,V,100,True
100099_2023-04-29,100099,2023-04-29,2023-04-29,V,100,True
100100_2018-09-02,100100,2018-09-02,2018-09-02,I,200,True
100101_2020-07-20,100101,2020-07-20,2020-07-20,V,100,True
100102_2019-04-05,100102,2019-04-05,2019-04-05,V,102,True
100103_2021-05-05,100103,2021-05-05,2021-05-05,V,101,True
100104_2019-04-03,100104,2019-04-03,2019-04-03,V,101,True
100106_2018-12-21,100106,2018-12-21,2018-12-21,I,205,True
100107_2022-06-03,100107,2022-06-03,2022-06-03,I,207,True
100108_2021-04-21,100108,2021-04-21,2021-04-21,V,101,True
100109_2025-07-09,100109,2025-07-09,2025-07-09,V,102,True
100111_2021-06-29,100111,2021-06-29,2021-06-29,I,201,True
100112_2018-10-18,100112,2018-10-18,2018-10-18,I,205,True
100113_2018-12-30,100113,2018-12-30,2018-12-30,I,200,True
100114_2019-04-04,100114,2019-04-04,2019-04-04,V,103,True
100115_2018-11-07,100115,2018-11-07,2018-11-07,I,200,True
100116_2018-06-29,100116,2018-06-29,2018-06-29,I,200,True
100117_2018-05-17,100117,2018-05-17,2018-05-17,I,207,True
100119_2019-08-01,100119,2019-08-01,2019-08-01,I,201,True
100120_2019-04-04,100120,2019-04-04,2019-04-04,V,100,True
100122_2019-02-06,100122,2019-02-06,2019-02-06,V,101,True
100123_2020-03-26,100123,2020-03-26,2020-03-26,V,100,True
100124_2019-06-20,100124,2019-06-20,2019-06-20,V,100,True
100125_2020-08-27,100125,2020-08-27,2020-08-27,V,101,True
100127_2021-02-01,100127,2021-02-01,2021-02-01,I,210,True
100129_2022-12-12,100129,2022-12-12,2022-12-12,V,101,True
100130_2019-08-28,100130,2019-08-28,2019-08-28,V,101,True
100131_2019-04-02,100131,2019-04-02,2019-04-02,V,100,True
100132_2018-04-23,100132,2018-04-23,2018-04-23,V,100,True
100133_2020-09-20,100133,2020-09-20,2020-09-20,V,100,True
100134_2019-04-24,100134,2019-04-24,2019-04-24,V,101,True
100135_2018-08-16,100135,2018-08-16,2018-08-16,I,207,True
100136_2018-04-29,100136,2018-04-29,2018-04-29,V,100,True
100138_2021-06-26,100138,2021-06-26,2021-06-26,I,200,True
100139_2022-12-23,100139,2022-12-23,2022-12-23,V,202,True
100140_2018-12-30,100140,2018-12-30,2018-12-30,V,102,True
100141_2022-07-10,100141,2022-07-10,2022-07-10,V,100,True
100143_2020-03-13,100143,2020-03-13,2020-03-13,V,102,True
100144_2020-02-09,100144,2020-02-09,2020-02-09,V,100,True
100146_2019-09-09,100146,2019-09-09,2019-09-09,V,101,True
100147_2019-10-29,100147,2019-10-29,2019-10-29,V,100,True
100148_2019-05-08,100148,2019-05-08,2019-05-08,V,202,True
100149_2019-04-19,100149,2019-04-19,2019-04-19,V,100,True
100150_2018-11-30,100150,2018-11-30,2018-11-30,V,102,True
100154_2018-09-03,100154,2018-09-03,2018-09-03,V,100,True
100156_2018-05-28,100156,2018-05-28,2018-05-28,V,202,True
100157_2019-10-19,100157,2019-10-19,2019-10-19,V,100,True
100158_2018-09-05,100158,2018-09-05,2018-09-05,V,101,True
100159_2019-05-04,100159,2019-05-04,2019-05-04,V,100,True
100160_2024-10-19,100160,2024-10-19,2024-10-19,V,103,True
100162_2020-02-11,100162,2020-02-11,2020-02-11,I,200,True
100163_2018-06-11,100163,2018-06-11,2018-06-11,V,102,True
100166_2023-07-15,100166,2023-07-15,2023-07-15,V,100,True
100168_2024-02-14,100168,2024-02-14,2024-02-14,I,200,True
100169_2020-01-14,100169,2020-01-14,2020-01-14,V,100,True
100172_2024-11-08,100172,2024-11-08,2024-11-08,V,102,True
100173_2021-08-02,100173,2021-08-02,2021-08-02,V,202,True
100174_2020-07-18,100174,2020-07-18,2020-07-18,V,100,True
100175_2020-03-04,100175,2020-03-04,2020-03-04,V,102,True
100176_2021-06-14,100176,2021-06-14,2021-06-14,V,100,True
100177_2018-10-13,100177,2018-10-13,2018-10-13,V,103,True
100178_2021-06-08,100178,2021-06-08,2021-06-08,V,100,True
100180_2018-05-26,100180,2018-05-26,2018-05-26,V,100,True
100182_2019-05-30,100182,2019-05-30,2019-05-30,V,100,True
100185_2022-01-22,100185,2022-01-22,2022-01-22,I,200,True
100187_2019-03-24,100187,2019-03-24,2019-03-24,I,207,True
100189_2021-01-25,100189,2021-01-25,2021-01-25,V,100,True
100190_2021-10-09,100190,2021-10-09,2021-10-09,I,207,True
100192_2019-02-13,100192,2019-02-13,2019-02-13,V,100,True
100196_2023-01-05,100196,2023-01-05,2023-01-05,I,205,True
100197_2018-12-05,100197,2018-12-05,2018-12-05,V,100,True
100199_2021-02-20,100199,2021-02-20,2021-02-20,V,100,True
100200_2020-07-27,100200,2020-07-27,2020-07-27,V,100,True
100201_2018-06-25,100201,2018-06-25,2018-06-25,I,207,True
100203_2020-01-28,100203,2020-01-28,2020-01-28,I,205,True
100207_2020-08-09,100207,2020-08-09,2020-08-09,V,100,True
100208_2019-02-28,100208,2019-02-28,2019-02-28,V,101,True
100209_2025-04-11,100209,2025-04-11,2025-04-11,V,101,True
100210_2023-03-14,100210,2023-03-14,2023-03-14,I,201,True
100211_2018-10-08,100211,2018-10-08,2018-10-08,V,100,True
100213_2022-08-19,100213,2022-08-19,2022-08-19,V,100,True
100214_2018-10-02,100214,2018-10-02,2018-10-02,V,100,True
100215_2019-12-09,100215,2019-12-09,2019-12-09,V,100,True
100216_2022-05-16,100216,2022-05-16,2022-05-16,V,100,True
100220_2021-11-12,100220,2021-11-12,2021-11-12,V,100,True
100221_2019-02-12,100221,2019-02-12,2019-02-12,V,100,True
100223_2021-03-28,100223,2021-03-28,2021-03-28,V,100,True
100224_2018-08-08,100224,2018-08-08,2018-08-08,V,100,True
100228_2019-12-18,100228,2019-12-18,2019-12-18,V,101,True
100229_2019-12-23,100229,2019-12-23,2019-12-23,V,100,True
100231_2021-02-20,100231,2021-02-20,2021-02-20,V,202,True
100232_2021-10-11,100232,2021-10-11,2021-10-11,I,200,True
100235_2019-03-09,100235,2019-03-09,2019-03-09,V,202,True
100236_2019-11-07,100236,2019-11-07,2019-11-07,I,206,True
100237_2018-08-01,100237,2018-08-01,2018-08-01,V,102,True
100238_2019-01-13,100238,2019-01-13,2019-01-13,V,100,True
100239_2018-10-05,100239,2018-10-05,2018-10-05,V,100,True
100241_2020-11-03,100241,2020-11-03,2020-11-03,I,205,True
100242_2023-05-24,100242,2023-05-24,2023-05-24,V,202,True
100243_2021-09-26,100243,2021-09-26,2021-09-26,I,200,True
100244_2019-05-16,100244,2019-05-16,2019-05-16,V,100,True
100246_2018-11-05,100246,2018-11-05,2018-11-05,I,205,True
100247_2025-05-25,100247,2025-05-25,2025-05-25,I,210,True
100249_2018-09-14,100249,2018-09-14,2018-09-14,V,102,True
100251_2025-03-27,100251,2025-03-27,2025-03-27,V,101,True
100252_2019-05-11,100252,2019-05-11,2019-05-11,V,101,True
100255_2019-05-22,100255,2019-05-22,2019-05-22,V,101,True
100257_2021-01-28,100257,2021-01-28,2021-01-28,I,200,True
100259_2018-08-02,100259,2018-08-02,2018-08-02,V,202,True
100260_2019-08-04,100260,2019-08-04,2019-08-04,V,202,True
100261_2019-10-10,100261,2019-10-10,2019-10-10,I,200,True
100262_2019-11-02,100262,2019-11-02,2019-11-02,V,100,True
100266_2018-08-06,100266,2018-08-06,2018-08-06,V,100,True
100269_2019-04-11,100269,2019-04-11,2019-04-11,V,100,True
100270_2020-09-27,100270,2020-09-27,2020-09-27,V,202,True
100272_2024-02-14,100272,2024-02-14,2024-02-14,I,201,True
100273_2018-12-12,100273,2018-12-12,2018-12-12,V,102,True
100274_2020-03-14,100274,2020-03-14,2020-03-14,V,100,True
100275_2025-08-24,100275,2025-08-24,2025-08-24,I,207,True
100278_2023-04-29,100278,2023-04-29,2023-04-29,V,100,True
100280_2021-04-18,100280,2021-04-18,2021-04-18,V,202,True
100282_2018-12-14,100282,2018-12-14,2018-12-14,I,201,True
100284_2019-11-12,100284,2019-11-12,2019-11-12,V,101,True
100285_2019-10-11,100285,2019-10-11,2019-10-11,V,100,True
100287_2018-11-29,100287,2018-11-29,2018-11-29,I,200,True
100288_2024-08-24,100288,2024-08-24,2024-08-24,I,201,True
100289_2023-11-03,100289,2023-11-03,2023-11-03,V,100,True
100290_2021-09-12,100290,2021-09-12,2021-09-12,V,100,True
100292_2019-02-08,100292,2019-02-08,2019-02-08,I,201,True
100293_2018-08-18,100293,2018-08-18,2018-08-18,V,100,True
100294_2021-04-29,100294,2021-04-29,2021-04-29,V,100,True
100295_2019-10-22,100295,2019-10-22,2019-10-22,V,100,True
100296_2019-07-30,100296,2019-07-30,2019-07-30,V,100,True
100297_2020-06-06,100297,2020-06-06,2020-06-06,I,200,True
100298_2019-02-02,100298,2019-02-02,2019-02-02,V,100,True
100299_2023-07-18,100299,2023-07-18,2023-07-18,V,100,True
100300_2023-03-27,100300,2023-03-27,2023-03-27,V,100,True
100302_2020-10-24,100302,2020-10-24,2020-10-24,V,102,True
100303_2025-11-04,100303,2025-11-04,2025-11-04,V,103,True
100305_2019-12-07,100305,2019-12-07,2019-12-07,I,207,True
100308_2023-12-09,100308,2023-12-09,2023-12-09,V,101,True
100309_2019-03-25,100309,2019-03-25,2019-03-25,I,205,True
100312_2022-01-30,100312,2022-01-30,2022-01-30,V,202,True
100315_2023-10-18,100315,2023-10-18,2023-10-18,I,210,True
100316_2020-01-30,100316,2020-01-30,2020-01-30,V,100,True
100318_2019-10-21,100318,2019-10-21,2019-10-21,V,100,True
100319_2019-02-20,100319,2019-02-20,2019-02-20,V,101,True
100321_2019-08-06,100321,2019-08-06,2019-08-06,I,201,True
100322_2019-08-31,100322,2019-08-31,2019-08-31,I,206,True
100323_2019-08-13,100323,2019-08-13,2019-08-13,V,100,True
100326_2019-06-12,100326,2019-06-12,2019-06-12,V,101,True
100327_2019-05-12,100327,2019-05-12,2019-05-12,I,205,True
100328_2025-11-25,100328,2025-11-25,2025-11-25,I,207,True
100329_2019-05-24,100329,2019-05-24,2019-05-24,V,101,True
100330_2024-01-15,100330,2024-01-15,2024-01-15,I,205,True
100331_2021-04-10,100331,2021-04-10,2021-04-10,V,101,True
100332_2019-05-23,100332,2019-05-23,2019-05-23,I,201,True
100333_2019-06-27,100333,2019-06-27,2019-06-27,I,200,True
100335_2020-10-12,100335,2020-10-12,2020-10-12,I,205,True
100338_2021-11-29,100338,2021-11-29,2021-11-29,V,100,True
100339_2021-04-06,100339,2021-04-06,2021-04-06,V,100,True
100341_2021-09-11,100341,2021-09-11,2021-09-11,I,200,True
100342_2022-03-07,100342,2022-03-07,2022-03-07,V,100,True
100343_2019-12-18,100343,2019-12-18,2019-12-18,V,100,True
100347_2024-02-14,100347,2024-02-14,2024-02-14,I,200,True
100350_2022-02-05,100350,2022-02-05,2022-02-05,V,101,True
100351_2021-12-13,100351,2021-12-13,2021-12-13,V,202,True
100352_2020-02-10,100352,2020-02-10,2020-02-10,I,205,True
100353_2021-01-06,100353,2021-01-06,2021-01-06,I,200,True
100354_2019-04-06,100354,2019-04-06,2019-04-06,V,100,True
100357_2020-03-16,100357,2020-03-16,2020-03-16,V,202,True
100363_2022-06-17,100363,2022-06-17,2022-06-17,I,200,True
100364_2019-03-29,100364,2019-03-29,2019-03-29,V,101,True
100365_2025-10-28,100365,2025-10-28,2025-10-28,I,205,True
100366_2020-06-18,100366,2020-06-18,2020-06-18,V,100,True
100369_2020-10-13,100369,2020-10-13,2020-10-13,V,100,True
100372_2019-09-26,100372,2019-09-26,2019-09-26,V,101,True
100374_2022-03-07,100374,2022-03-07,2022-03-07,I,201,True
100375_2019-05-12,100375,2019-05-12,2019-05-12,I,200,True
100376_2022-02-17,100376,2022-02-17,2022-02-17,V,100,True
100377_2025-05-11,100377,2025-05-11,2025-05-11,V,100,True
100378_2019-08-16,100378,2019-08-16,2019-08-16,I,206,True
100379_2020-05-28,100379,2020-05-28,2020-05-28,I,206,True
100380_2019-04-23,100380,2019-04-23,2019-04-23,V,102,True
100381_2019-05-20,100381,2019-05-20,2019-05-20,V,101,True
100383_2019-06-05,100383,2019-06-05,2019-06-05,I,200,True
100384_2020-03-10,100384,2020-03-10,2020-03-10,I,200,True
100387_2019-03-10,100387,2019-03-10,2019-03-10,V,102,True
100388_2020-12-27,100388,2020-12-27,2020-12-27,V,202,True
100389_2021-08-11,100389,2021-08-11,2021-08-11,I,201,True
100390_2022-04-12,100390,2022-04-12,2022-04-12,I,200,True
100391_2018-11-12,100391,2018-11-12,2018-11-12,V,202,True
100392_2021-03-25,100392,2021-03-25,2021-03-25,V,100,True
100393_2020-04-28,100393,2020-04-28,2020-04-28,I,200,True
100394_2023-08-09,100394,2023-08-09,2023-08-09,I,207,True
100395_2019-07-30,100395,2019-07-30,2019-07-30,V,202,True
100398_2020-09-14,100398,2020-09-14,2020-09-14,V,103,True
100399_2019-03-11,100399,2019-03-11,2019-03-11,I,205,True
100400_2020-07-05,100400,2020-07-05,2020-07-05,I,200,True
100402_2020-05-27,100402,2020-05-27,2020-05-27,I,207,True
100403_2020-03-14,100403,2020-03-14,2020-03-14,V,100,True
100404_2019-03-13,100404,2019-03-13,2019-03-13,V,101,True
100405_2019-12-02,100405,2019-12-02,2019-12-02,V,101,True
100407_2019-10-06,100407,2019-10-06,2019-10-06,I,206,True
100408_2019-01-14,100408,2019-01-14,2019-01-14,V,202,True
100409_2019-01-23,100409,2019-01-23,2019-01-23,V,100,True
100410_2020-06-11,100410,2020-06-11,2020-06-11,I,200,True
100411_2020-08-08,100411,2020-08-08,2020-08-08,I,201,True
100412_2021-05-03,100412,2021-05-03,2021-05-03,V,100,True
100413_2021-10-18,100413,2021-10-18,2021-10-18,V,100,True
100415_2019-04-10,100415,2019-04-10,2019-04-10,V,101,True
100416_2019-01-08,100416,2019-01-08,2019-01-08,I,201,True
100418_2019-06-05,100418,2019-06-05,2019-06-05,V,100,True
100419_2022-09-29,100419,2022-09-29,2022-09-29,I,205,True
100422_2019-03-10,100422,2019-03-10,2019-03-10,V,102,True
100423_2019-01-09,100423,2019-01-09,2019-01-09,V,202,True
100426_2019-05-27,100426,2019-05-27,2019-05-27,V,102,True
100428_2019-11-10,100428,2019-11-10,2019-11-10,V,202,True
100430_2024-09-19,100430,2024-09-19,2024-09-19,I,205,True
100431_2024-09-15,100431,2024-09-15,2024-09-15,V,101,True
100435_2020-12-20,100435,2020-12-20,2020-12-20,V,103,True
100436_2019-10-02,100436,2019-10-02,2019-10-02,I,205,True
100437_2019-08-23,100437,2019-08-23,2019-08-23,I,200,True
100438_2022-03-12,100438,2022-03-12,2022-03-12,V,103,True
100439_2021-04-26,100439,2021-04-26,2021-04-26,I,207,True
100440_2020-06-20,100440,2020-06-20,2020-06-20,V,202,True
100441_2020-12-06,100441,2020-12-06,2020-12-06,V,101,True
100442_2020-01-14,100442,2020-01-14,2020-01-14,V,102,True
100444_2022-03-17,100444,2022-03-17,2022-03-17,V,100,True
100448_2019-11-30,100448,2019-11-30,2019-11-30,I,206,True
100451_2023-04-23,100451,2023-04-23,2023-04-23,V,100,True
100452_2026-01-28,100452,2026-01-28,2026-01-28,I,207,True
100453_2020-05-15,100453,2020-05-15,2020-05-15,V,101,True
100454_2023-03-28,100454,2023-03-28,2023-03-28,V,101,True
100456_2022-07-29,100456,2022-07-29,2022-07-29,V,101,True
100457_2023-11-04,100457,2023-11-04,2023-11-04,V,100,True
100459_2019-05-06,100459,2019-05-06,2019-05-06,V,101,True
100461_2022-10-19,100461,2022-10-19,2022-10-19,I,210,True
100462_2022-03-11,100462,2022-03-11,2022-03-11,V,102,True
100464_2020-10-02,100464,2020-10-02,2020-10-02,I,200,True
100465_2021-01-09,100465,2021-01-09,2021-01-09,V,202,True
100467_2019-06-14,100467,2019-06-14,2019-06-14,V,101,True
100470_2020-08-19,100470,2020-08-19,2020-08-19,V,101,True
100471_2024-10-26,100471,2024-10-26,2024-10-26,V,100,True
100472_2019-02-10,100472,2019-02-10,2019-02-10,I,207,True
100473_2021-12-14,100473,2021-12-14,2021-12-14,V,101,True
100474_2019-12-02,100474,2019-12-02,2019-12-02,V,102,True
100475_2020-09-01,100475,2020-09-01,2020-09-01,V,101,True
100476_2019-06-15,100476,2019-06-15,2019-06-15,I,205,True
100477_2020-08-30,100477,2020-08-30,2020-08-30,I,201,True
100479_2021-11-19,100479,2021-11-19,2021-11-19,I,205,True
100482_2021-06-10,100482,2021-06-10,2021-06-10,V,100,True
100483_2021-11-13,100483,2021-11-13,2021-11-13,V,202,True
100484_2019-08-17,100484,2019-08-17,2019-08-17,V,100,True
100485_2022-08-15,100485,2022-08-15,2022-08-15,V,202,True
100486_2025-03-06,100486,2025-03-06,2025-03-06,I,205,True
100487_2020-02-18,100487,2020-02-18,2020-02-18,V,202,True
100488_2019-12-22,100488,2019-12-22,2019-12-22,V,100,True
100489_2021-08-02,100489,2021-08-02,2021-08-02,V,101,True
100491_2021-02-09,100491,2021-02-09,2021-02-09,V,102,True
100492_2019-07-19,100492,2019-07-19,2019-07-19,I,210,True
100493_2019-06-28,100493,2019-06-28,2019-06-28,V,101,True
100494_2022-10-17,100494,2022-10-17,2022-10-17,V,101,True
100496_2020-03-24,100496,2020-03-24,2020-03-24,V,202,True
100500_2019-04-28,100500,2019-04-28,2019-04-28,V,100,True
100501_2019-07-29,100501,2019-07-29,2019-07-29,V,100,True
100502_2021-09-05,100502,2021-09-05,2021-09-05,V,100,True
100503_2022-12-08,100503,2022-12-08,2022-12-08,V,101,True
100506_2025-06-26,100506,2025-06-26,2025-06-26,V,100,True
100507_2020-05-21,100507,2020-05-21,2020-05-21,V,101,True
100508_2023-01-16,100508,2023-01-16,2023-01-16,I,200,True
100509_2024-05-08,100509,2024-05-08,2024-05-08,I,205,True
100510_2019-12-11,100510,2019-12-11,2019-12-11,V,202,True
100512_2022-01-06,100512,2022-01-06,2022-01-06,V,101,True
100516_2022-07-27,100516,2022-07-27,2022-07-27,I,205,True
100517_2021-07-07,100517,2021-07-07,2021-07-07,V,101,True
100518_2021-03-02,100518,2021-03-02,2021-03-02,V,100,True
100519_2025-10-28,100519,2025-10-28,2025-10-28,V,100,True
100520_2022-01-31,100520,2022-01-31,2022-01-31,I,206,True
100521_2020-02-19,100521,2020-02-19,2020-02-19,V,202,True
100522_2019-08-02,100522,2019-08-02,2019-08-02,I,205,True
100523_2021-10-21,100523,2021-10-21,2021-10-21,V,101,True
100524_2022-04-21,100524,2022-04-21,2022-04-21,V,101,True
100525_2023-01-19,100525,2023-01-19,2023-01-19,I,205,True
100526_2020-02-20,100526,2020-02-20,2020-02-20,V,102,True
100527_2022-10-08,100527,2022-10-08,2022-10-08,V,202,True
100530_2023-07-15,100530,2023-07-15,2023-07-15,I,200,True
100531_2019-11-17,100531,2019-11-17,2019-11-17,I,200,True
100532_2024-01-02,100532,2024-01-02,2024-01-02,I,201,True
100533_2025-01-11,100533,2025-01-11,2025-01-11,V,100,True
100534_2019-07-25,100534,2019-07-25,2019-07-25,V,100,True
100536_2023-10-03,100536,2023-10-03,2023-10-03,I,205,True
100537_2023-12-18,100537,2023-12-18,2023-12-18,V,101,True
100538_2019-11-05,100538,2019-11-05,2019-11-05,I,201,True
100540_2023-06-25,100540,2023-06-25,2023-06-25,V,100,True
100541_2019-09-18,100541,2019-09-18,2019-09-18,V,101,True
100542_2019-08-15,100542,2019-08-15,2019-08-15,V,102,True
100543_2020-12-16,100543,2020-12-16,2020-12-16,I,200,True
100547_2020-11-18,100547,2020-11-18,2020-11-18,V,100,True
100549_2020-04-27,100549,2020-04-27,2020-04-27,I,205,True
100550_2024-01-27,100550,2024-01-27,2024-01-27,I,201,True
100552_2021-03-07,100552,2021-03-07,2021-03-07,V,100,True
100553_2020-04-02,100553,2020-04-02,2020-04-02,V,101,True
100554_2021-10-12,100554,2021-10-12,2021-10-12,V,100,True
100555_2019-06-03,100555,2019-06-03,2019-06-03,I,201,True
100557_2019-05-16,100557,2019-05-16,2019-05-16,I,207,True
100558_2020-08-12,100558,2020-08-12,2020-08-12,V,100,True
100559_2019-09-07,100559,2019-09-07,2019-09-07,V,100,True
100560_2023-02-13,100560,2023-02-13,2023-02-13,V,100,True
100561_2023-03-10,100561,2023-03-10,2023-03-10,I,205,True
100562_2025-06-11,100562,2025-06-11,2025-06-11,V,100,True
100564_2019-12-23,100564,2019-12-23,2019-12-23,V,102,True
100565_2023-02-23,100565,2023-02-23,2023-02-23,V,101,True
100566_2019-06-20,100566,2019-06-20,2019-06-20,V,100,True
100567_2022-08-22,100567,2022-08-22,2022-08-22,V,101,True
100568_2025-03-18,100568,2025-03-18,2025-03-18,I,200,True
100570_2020-07-07,100570,2020-07-07,2020-07-07,I,207,True
100572_2020-06-19,100572,2020-06-19,2020-06-19,V,100,True
100574_2020-07-08,100574,2020-07-08,2020-07-08,V,100,True
100577_2021-01-22,100577,2021-01-22,2021-01-22,V,100,True
100578_2022-12-09,100578,2022-12-09,2022-12-09,I,210,True
100579_2022-02-18,100579,2022-02-18,2022-02-18,I,210,True
100580_2023-06-11,100580,2023-06-11,2023-06-11,V,102,True
100581_2020-07-22,100581,2020-07-22,2020-07-22,V,100,True
100583_2021-06-13,100583,2021-06-13,2021-06-13,V,101,True
100585_2019-11-10,100585,2019-11-10,2019-11-10,I,205,True
100587_2019-10-22,100587,2019-10-22,2019-10-22,I,206,True
100588_2020-08-17,100588,2020-08-17,2020-08-17,V,202,True
100590_2020-10-07,100590,2020-10-07,2020-10-07,V,101,True
100591_2020-04-01,100591,2020-04-01,2020-04-01,V,202,True
100592_2021-03-11,100592,2021-03-11,2021-03-11,I,201,True
100594_2019-10-31,100594,2019-10-31,2019-10-31,V,202,True
100595_2019-12-05,100595,2019-12-05,2019-12-05,I,201,True
100596_2023-12-21,100596,2023-12-21,2023-12-21,I,205,True
100600_2021-02-17,100600,2021-02-17,2021-02-17,V,100,True
100601_2026-01-17,100601,2026-01-17,2026-01-17,I,201,True
100603_2025-10-03,100603,2025-10-03,2025-10-03,I,207,True
100604_2019-08-25,100604,2019-08-25,2019-08-25,I,207,True
100605_2021-02-27,100605,2021-02-27,2021-02-27,I,205,True
100606_2023-03-27,100606,2023-03-27,2023-03-27,V,100,True
100607_2022-03-16,100607,2022-03-16,2022-03-16,V,101,True
100608_2019-06-17,100608,2019-06-17,2019-06-17,I,206,True
100609_2020-07-02,100609,2020-07-02,2020-07-02,V,202,True
100610_2020-03-30,100610,2020-03-30,2020-03-30,I,205,True
100611_2019-12-25,100611,2019-12-25,2019-12-25,V,100,True
100612_2019-07-07,100612,2019-07-07,2019-07-07,V,100,True
100614_2020-05-23,100614,2020-05-23,2020-05-23,V,101,True
100615_2020-10-25,100615,2020-10-25,2020-10-25,V,100,True
100616_2019-10-14,100616,2019-10-14,2019-10-14,I,200,True
100618_2019-11-14,100618,2019-11-14,2019-11-14,V,101,True
100621_2020-04-27,100621,2020-04-27,2020-04-27,V,101,True
100622_2025-03-12,100622,2025-03-12,2025-03-12,V,102,True
100626_2019-10-16,100626,2019-10-16,2019-10-16,I,207,True
100627_2022-12-12,100627,2022-12-12,2022-12-12,I,201,True
100630_2020-01-25,100630,2020-01-25,2020-01-25,V,103,True
100631_2020-09-17,100631,2020-09-17,2020-09-17,V,100,True
100632_2021-08-13,100632,2021-08-13,2021-08-13,V,100,True
100634_2020-10-13,100634,2020-10-13,2020-10-13,I,205,True
100635_2023-11-12,100635,2023-11-12,2023-11-12,V,103,True
100636_2021-03-07,100636,2021-03-07,2021-03-07,V,100,True
