report_year,report_month,tenure_bucket,headcount
2020,11,1-2 years,306
2020,11,2-5 years,240
2020,11,5-10 years,0
2020,11,10+ years,0
2020,12,0-1 years,370
2020,12,1-2 years,304
2020,12,2-5 years,250
2020,12,5-10 years,0
2020,12,10+ years,0
2021,1,0-1 years,366
2021,1,1-2 years,304
2021,1,2-5 years,266
2021,1,5-10 years,0
2021,1,10+ years,0
2021,2,0-1 years,363
2021,2,1-2 years,303
2021,2,2-5 years,275
2021,2,5-10 years,0
2021,2,10+ years,0
2021,3,0-1 years,366
2021,3,1-2 years,301
2021,3,2-5 years,299
2021,3,5-10 years,0
2021,3,10+ years,0
2021,4,0-1 years,369
2021,4,1-2 years,307
2021,4,2-5 years,321
2021,4,5-10 years,0
2021,4,10+ years,0
2021,5,0-1 years,363
2021,5,1-2 years,314
2021,5,2-5 years,346
2021,5,5-10 years,0
2021,5,10+ years,0
2021,6,0-1 years,362
2021,6,1-2 years,311
2021,6,2-5 years,361
2021,6,5-10 years,0
2021,6,10+ years,0
2021,7,0-1 years,365
2021,7,1-2 years,306
2021,7,2-5 years,387
2021,7,5-10 years,0
2021,7,10+ years,0
2021,8,0-1 years,370
2021,8,1-2 years,301
2021,8,2-5 years,400
2021,8,5-10 years,0
2021,8,10+ years,0
2021,9,0-1 years,380
2021,9,1-2 years,294
2021,9,2-5 years,436
2021,9,5-10 years,0
2021,9,10+ years,0
2021,10,0-1 years,387
2021,10,1-2 years,289
2021,10,2-5 years,455
2021,10,5-10 years,0
2021,10,10+ years,0
2021,11,0-1 years,392
2021,11,1-2 years,280
2021,11,2-5 years,468
2021,11,5-10 years,0
2021,11,10+ years,0
2021,12,0-1 years,382
2021,12,1-2 years,279
2021,12,2-5 years,475
2021,12,5-10 years,0
2021,12,10+ years,0
2022,1,0-1 years,385
2022,1,1-2 years,274
2022,1,2-5 years,489
2022,1,5-10 years,0
2022,1,10+ years,0
2022,2,0-1 years,378
2022,2,1-2 years,275
2022,2,2-5 years,499
2022,2,5-10 years,0
2022,2,10+ years,0
2022,3,0-1 years,381
2022,3,1-2 years,274
2022,3,2-5 years,515
2022,3,5-10 years,0
2022,3,10+ years,0
2022,4,0-1 years,387
2022,4,1-2 years,282
2022,4,2-5 years,536
2022,4,5-10 years,0
2022,4,10+ years,0
2022,5,0-1 years,381
2022,5,1-2 years,284
2022,5,2-5 years,563
2022,5,5-10 years,0
2022,5,10+ years,0
2022,6,0-1 years,380
2022,6,1-2 years,291
2022,6,2-5 years,577
2022,6,5-10 years,0
2022,6,10+ years,0
2022,7,0-1 years,384
2022,7,1-2 years,296
2022,7,2-5 years,588
2022,7,5-10 years,0
2022,7,10+ years,0
2022,8,0-1 years,378
2022,8,1-2 years,303
2022,8,2-5 years,596
2022,8,5-10 years,0
2022,8,10+ years,0
2022,9,0-1 years,382
2022,9,1-2 years,307
2022,9,2-5 years,620
2022,9,5-10 years,0
2022,9,10+ years,0
2022,10,0-1 years,389
2022,10,1-2 years,306
2022,10,2-5 years,636
2022,10,5-10 years,0
2022,10,10+ years,0
2022,11,0-1 years,376
2022,11,1-2 years,317
2022,11,2-5 years,643
2022,11,5-10 years,0
2022,11,10+ years,0
2022,12,0-1 years,382
2022,12,1-2 years,308
2022,12,2-5 years,647
2022,12,5-10 years,0
2022,12,10+ years,0
2023,1,0-1 years,382
2023,1,1-2 years,315
2023,1,2-5 years,646
2023,1,5-10 years,12
2023,1,10+ years,0
2023,2,0-1 years,384
2023,2,1-2 years,311
2023,2,2-5 years,648
2023,2,5-10 years,23
2023,2,10+ years,0
2023,3,0-1 years,386
2023,3,1-2 years,309
2023,3,2-5 years,646
2023,3,5-10 years,43
2023,3,10+ years,0
2023,4,0-1 years,389
2023,4,1-2 years,311
2023,4,2-5 years,660
2023,4,5-10 years,52
2023,4,10+ years,0
2023,5,0-1 years,398
2023,5,1-2 years,315
2023,5,2-5 years,664
2023,5,5-10 years,75
2023,5,10+ years,0
2023,6,0-1 years,403
2023,6,1-2 years,315
2023,6,2-5 years,665
2023,6,5-10 years,92
2023,6,10+ years,0
2023,7,0-1 years,407
2023,7,1-2 years,308
2023,7,2-5 years,670
2023,7,5-10 years,108
2023,7,10+ years,0
2023,8,0-1 years,400
2023,8,1-2 years,307
2023,8,2-5 years,677
2023,8,5-10 years,124
2023,8,10+ years,0
2023,9,0-1 years,402
2023,9,1-2 years,309
2023,9,2-5 years,672
2023,9,5-10 years,147
2023,9,10+ years,0
2023,10,0-1 years,395
2023,10,1-2 years,316
2023,10,2-5 years,670
2023,10,5-10 years,160
2023,10,10+ years,0
2023,11,0-1 years,394
2023,11,1-2 years,313
2023,11,2-5 years,676
2023,11,5-10 years,168
2023,11,10+ years,0
2023,12,0-1 years,383
2023,12,1-2 years,314
2023,12,2-5 years,665
2023,12,5-10 years,176
2023,12,10+ years,0
2024,1,0-1 years,381
2024,1,1-2 years,308
2024,1,2-5 years,667
2024,1,5-10 years,187
2024,1,10+ years,0
2024,2,0-1 years,380
2024,2,1-2 years,304
2024,2,2-5 years,671
2024,2,5-10 years,195
2024,2,10+ years,0
2024,3,0-1 years,376
2024,3,1-2 years,311
2024,3,2-5 years,681
2024,3,5-10 years,207
2024,3,10+ years,0
2024,4,0-1 years,378
2024,4,1-2 years,306
2024,4,2-5 years,691
2024,4,5-10 years,225
2024,4,10+ years,0
2024,5,0-1 years,378
2024,5,1-2 years,314
2024,5,2-5 years,691
2024,5,5-10 years,243
2024,5,10+ years,0
2024,6,0-1 years,374
2024,6,1-2 years,320
2024,6,2-5 years,686
2024,6,5-10 years,258
2024,6,10+ years,0
2024,7,0-1 years,379
2024,7,1-2 years,320
2024,7,2-5 years,681
2024,7,5-10 years,274
2024,7,10+ years,0
2024,8,0-1 years,386
2024,8,1-2 years,313
2024,8,2-5 years,690
2024,8,5-10 years,282
2024,8,10+ years,0
2024,9,0-1 years,383
2024,9,1-2 years,312
2024,9,2-5 years,693
2024,9,5-10 years,307
2024,9,10+ years,0
2024,10,0-1 years,366
2024,10,1-2 years,306
2024,10,2-5 years,698
2024,10,5-10 years,318
2024,10,10+ years,0
2024,11,0-1 years,333
2024,11,1-2 years,310
2024,11,2-5 years,700
2024,11,5-10 years,328
2024,11,10+ years,0
2024,12,0-1 years,312
2024,12,1-2 years,309
2024,12,2-5 years,688
2024,12,5-10 years,338
2024,12,10+ years,0
2025,1,0-1 years,283
2025,1,1-2 years,302
2025,1,2-5 years,693
2025,1,5-10 years,348
2025,1,10+ years,0
2025,2,0-1 years,253
2025,2,1-2 years,307
2025,2,2-5 years,691
2025,2,5-10 years,357
2025,2,10+ years,0
2025,3,0-1 years,216
2025,3,1-2 years,300
2025,3,2-5 years,695
2025,3,5-10 years,372
2025,3,10+ years,0
2025,4,0-1 years,177
2025,4,1-2 years,296
2025,4,2-5 years,694
2025,4,5-10 years,391
2025,4,10+ years,0
2025,5,0-1 years,144
2025,5,1-2 years,295
2025,5,2-5 years,691
2025,5,5-10 years,415
2025,5,10+ years,0
2025,6,0-1 years,117
2025,6,1-2 years,282
2025,6,2-5 years,701
2025,6,5-10 years,419
2025,6,10+ years,0
2025,7,0-1 years,84
2025,7,1-2 years,286
2025,7,2-5 years,695
2025,7,5-10 years,433
2025,7,10+ years,0
2025,8,0-1 years,58
2025,8,1-2 years,293
2025,8,2-5 years,696
2025,8,5-10 years,441
2025,8,10+ years,0
2025,9,0-1 years,19
2025,9,1-2 years,295
2025,9,2-5 years,698
2025,9,5-10 years,463
2025,9,10+ years,0
2025,10,0-1 years,0
2025,10,1-2 years,287
2025,10,2-5 years,696
2025,10,5-10 years,473
2025,10,10+ years,0
2025,11,0-1 years,0
2025,11,1-2 years,260
2025,11,2-5 years,703
2025,11,5-10 years,482
2025,11,10+ years,0
2025,12,0-1 years,0
2025,12,1-2 years,245
2025,12,2-5 years,703
2025,12,5-10 years,486
2025,12,10+ years,0
2026,1,0-1 years,0
2026,1,1-2 years,222
2026,1,2-5 years,706
2026,1,5-10 years,490
2026,1,10+ years,0
2026,2,0-1 years,0
2026,2,1-2 years,0
2026,2,2-5 years,0
2026,2,5-10 years,0
2026,2,10+ years,0
2026,3,0-1 years,0
2026,3,1-2 years,0
2026,3,2-5 years,0
2026,3,5-10 years,0
2026,3,10+ years,0
2026,4,0-1 years,0
2026,4,1-2 years,0
2026,4,2-5 years,0
2026,4,5-10 years,0
2026,4,10+ years,0
2026,5,0-1 years,0
2026,5,1-2 years,0
2026,5,2-5 years,0
2026,5,5-10 years,0
2026,5,10+ years,0
2026,6,0-1 years,0
2026,6,1-2 years,0
2026,6,2-5 years,0
2026,6,5-10 years,0
2026,6,10+ years,0
2026,7,0-1 years,0
2026,7,1-2 years,0
2026,7,2-5 years,0
2026,7,5-10 years,0
2026,7,10+ years,0
2026,8,0-1 years,0
2026,8,1-2 years,0
2026,8,2-5 years,0
2026,8,5-10 years,0
2026,8,10+ years,0
2026,9,0-1 years,0
2026,9,1-2 years,0
2026,9,2-5 years,0
2026,9,5-10 years,0
2026,9,10+ years,0
2026,10,0-1 years,0
2026,10,1-2 years,0
2026,10,2-5 years,0
2026,10,5-10 years,0
2026,10,10+ years,0
2026,11,0-1 years,0
2026,11,1-2 years,0
2026,11,2-5 years,0
2026,11,5-10 years,0
2026,11,10+ years,0
2026,12,0-1 years,0
2026,12,1-2 years,0
2026,12,2-5 years,0
2026,12,5-10 years,0
2026,12,10+ years,0
