report_year,report_month,org_2_code,headcount,terminations,attrition_rate
2020,8,120,74,1,0.013513513513513514
2020,8,20,78,2,0.02564102564102564
2020,8,30,79,3,0.0379746835443038
2020,8,40,60,1,0.016666666666666666
2020,8,50,81,1,0.012345679012345678
2020,8,60,92,1,0.010869565217391304
2020,8,70,65,0,0.0
2020,8,80,65,0,0.0
2020,8,90,75,4,0.05333333333333334
2020,9,10,89,3,0.033707865168539325
2020,9,100,70,2,0.02857142857142857
2020,9,110,72,1,0.013888888888888888
2020,9,120,76,2,0.02631578947368421
2020,9,20,79,0,0.0
2020,9,30,78,1,0.01282051282051282
2020,9,40,62,1,0.016129032258064516
2020,9,50,86,4,0.046511627906976744
2020,9,60,96,3,0.03125
2020,9,70,72,0,0.0
2020,9,80,68,0,0.0
2020,9,90,75,1,0.013333333333333334
2020,10,10,92,1,0.010869565217391304
2020,10,100,71,2,0.028169014084507043
2020,10,110,73,0,0.0
2020,10,120,78,3,0.038461538461538464
2020,10,20,80,0,0.0
2020,10,30,80,2,0.025
2020,10,40,62,1,0.016129032258064516
2020,10,50,85,2,0.023529411764705882
2020,10,60,97,1,0.010309278350515464
2020,10,70,76,2,0.02631578947368421
2020,10,80,71,1,0.014084507042253521
2020,10,90,82,0,0.0
2020,11,10,92,0,0.0
2020,11,100,71,2,0.028169014084507043
2020,11,110,74,2,0.02702702702702703
2020,11,120,78,2,0.02564102564102564
2020,11,20,84,1,0.011904761904761904
2020,11,30,79,0,0.0
2020,11,40,63,3,0.047619047619047616
2020,11,50,85,6,0.07058823529411765
2020,11,60,98,4,0.04081632653061224
2020,11,70,76,1,0.013157894736842105
2020,11,80,70,4,0.05714285714285714
2020,11,90,86,2,0.023255813953488372
2020,12,10,94,3,0.031914893617021274
2020,12,100,72,1,0.013888888888888888
2020,12,110,75,1,0.013333333333333334
2020,12,120,78,1,0.01282051282051282
2020,12,20,83,2,0.024096385542168676
2020,12,30,81,0,0.0
2020,12,40,62,1,0.016129032258064516
2020,12,50,79,1,0.012658227848101266
2020,12,60,97,0,0.0
2020,12,70,76,0,0.0
2020,12,80,66,0,0.0
2020,12,90,85,5,0.058823529411764705
2021,1,10,92,2,0.021739130434782608
2021,1,100,74,1,0.013513513513513514
2021,1,110,79,3,0.0379746835443038
2021,1,120,79,1,0.012658227848101266
2021,1,20,85,0,0.0
2021,1,30,82,1,0.012195121951219513
2021,1,40,65,3,0.046153846153846156
2021,1,50,79,2,0.02531645569620253
2021,1,60,99,2,0.020202020202020204
2021,1,70,78,1,0.01282051282051282
2021,1,80,69,1,0.014492753623188406
2021,1,90,82,2,0.024390243902439025
2021,2,10,94,1,0.010638297872340425
2021,2,100,75,4,0.05333333333333334
2021,2,110,80,0,0.0
2021,2,120,81,1,0.012345679012345678
2021,2,20,86,2,0.023255813953488372
2021,2,30,85,2,0.023529411764705882
2021,2,40,66,1,0.015151515151515152
2021,2,50,77,0,0.0
2021,2,60,99,2,0.020202020202020204
2021,2,70,78,4,0.05128205128205128
2021,2,80,72,3,0.041666666666666664
2021,2,90,81,3,0.037037037037037035
2021,3,10,95,2,0.021052631578947368
2021,3,100,74,3,0.04054054054054054
2021,3,110,83,2,0.024096385542168676
2021,3,120,85,1,0.011764705882352941
2021,3,20,87,0,0.0
2021,3,30,86,1,0.011627906976744186
2021,3,40,72,0,0.0
2021,3,50,81,1,0.012345679012345678
2021,3,60,100,1,0.01
2021,3,70,77,2,0.025974025974025976
2021,3,80,70,0,0.0
2021,3,90,81,1,0.012345679012345678
2021,4,10,98,1,0.01020408163265306
2021,4,100,73,1,0.0136986301369863
2021,4,110,86,1,0.011627906976744186
2021,4,120,85,0,0.0
2021,4,20,92,2,0.021739130434782608
2021,4,30,94,0,0.0
2021,4,40,77,3,0.03896103896103896
2021,4,50,82,1,0.012195121951219513
2021,4,60,102,1,0.00980392156862745
2021,4,70,80,2,0.025
2021,4,80,75,2,0.02666666666666667
2021,4,90,82,1,0.012195121951219513
2021,5,10,101,5,0.04950495049504951
2021,5,100,77,2,0.025974025974025976
2021,5,110,91,2,0.02197802197802198
2021,5,120,88,0,0.0
2021,5,20,96,2,0.020833333333333332
2021,5,30,95,1,0.010526315789473684
2021,5,40,77,0,0.0
2021,5,50,83,1,0.012048192771084338
2021,5,60,107,1,0.009345794392523364
2021,5,70,79,2,0.02531645569620253
2021,5,80,73,3,0.0410958904109589
2021,5,90,86,2,0.023255813953488372
2021,6,10,98,4,0.04081632653061224
2021,6,100,79,4,0.05063291139240506
2021,6,110,90,3,0.03333333333333333
2021,6,120,94,3,0.031914893617021274
2021,6,20,99,0,0.0
2021,6,30,99,3,0.030303030303030304
2021,6,40,81,1,0.012345679012345678
2021,6,50,86,1,0.011627906976744186
2021,6,60,107,2,0.018691588785046728
2021,6,70,77,2,0.025974025974025976
2021,6,80,75,1,0.013333333333333334
2021,6,90,85,3,0.03529411764705882
2021,7,10,99,2,0.020202020202020204
2021,7,100,78,0,0.0
2021,7,110,89,1,0.011235955056179775
2021,7,120,92,1,0.010869565217391304
2021,7,20,100,3,0.03
2021,7,30,100,2,0.02
2021,7,40,86,1,0.011627906976744186
2021,7,50,88,1,0.011363636363636364
2021,7,60,110,1,0.00909090909090909
2021,7,70,79,1,0.012658227848101266
2021,7,80,79,1,0.012658227848101266
2021,7,90,82,2,0.024390243902439025
2021,8,10,101,2,0.019801980198019802
2021,8,100,80,2,0.025
2021,8,110,90,2,0.022222222222222223
2021,8,120,93,0,0.0
2021,8,20,103,2,0.019417475728155338
2021,8,30,101,1,0.009900990099009901
2021,8,40,88,3,0.03409090909090909
2021,8,50,91,3,0.03296703296703297
2021,8,60,113,3,0.02654867256637168
2021,8,70,82,1,0.012195121951219513
2021,8,80,80,2,0.025
2021,8,90,80,1,0.0125
2021,9,10,103,0,0.0
2021,9,100,84,0,0.0
2021,9,110,91,2,0.02197802197802198
2021,9,120,97,0,0.0
2021,9,20,106,0,0.0
2021,9,30,105,1,0.009523809523809525
2021,9,40,89,2,0.02247191011235955
2021,9,50,94,2,0.02127659574468085
2021,9,60,119,2,0.01680672268907563
2021,9,70,84,2,0.023809523809523808
2021,9,80,82,2,0.024390243902439025
2021,9,90,80,2,0.025
2021,10,10,107,2,0.018691588785046728
2021,10,100,87,2,0.022988505747126436
2021,10,110,93,2,0.021505376344086023
2021,10,120,99,0,0.0
2021,10,20,114,1,0.008771929824561403
2021,10,30,108,3,0.027777777777777776
2021,10,40,89,2,0.02247191011235955
2021,10,50,101,1,0.009900990099009901
2021,10,60,120,2,0.016666666666666666
2021,10,70,82,5,0.06097560975609756
2021,10,80,81,3,0.037037037037037035
2021,10,90,82,3,0.036585365853658534
2021,11,10,105,2,0.01904761904761905
2021,11,100,90,2,0.022222222222222223
2021,11,110,93,1,0.010752688172043012
2021,11,120,102,2,0.0196078431372549
2021,11,20,114,2,0.017543859649122806
2021,11,30,105,4,0.0380952380952381
2021,11,40,89,2,0.02247191011235955
2021,11,50,104,1,0.009615384615384616
2021,11,60,120,1,0.008333333333333333
2021,11,70,79,1,0.012658227848101266
2021,11,80,83,2,0.024096385542168676
2021,11,90,83,2,0.024096385542168676
2021,12,10,105,0,0.0
2021,12,100,89,1,0.011235955056179775
2021,12,110,93,0,0.0
2021,12,120,101,3,0.0297029702970297
2021,12,20,116,3,0.02586206896551724
2021,12,30,103,1,0.009708737864077669
2021,12,40,88,4,0.045454545454545456
2021,12,50,104,2,0.019230769230769232
2021,12,60,123,2,0.016260162601626018
2021,12,70,79,0,0.0
2021,12,80,81,0,0.0
2021,12,90,81,3,0.037037037037037035
2022,1,10,108,1,0.009259259259259259
2022,1,100,91,1,0.01098901098901099
2022,1,110,97,0,0.0
2022,1,120,101,2,0.019801980198019802
2022,1,20,115,1,0.008695652173913044
2022,1,30,102,1,0.00980392156862745
2022,1,40,89,5,0.056179775280898875
2022,1,50,104,3,0.028846153846153848
2022,1,60,121,1,0.008264462809917356
2022,1,70,79,0,0.0
2022,1,80,83,0,0.0
2022,1,90,81,1,0.012345679012345678
2022,2,10,107,5,0.04672897196261682
2022,2,100,91,0,0.0
2022,2,110,97,3,0.030927835051546393
2022,2,120,102,1,0.00980392156862745
2022,2,20,115,1,0.008695652173913044
2022,2,30,104,0,0.0
2022,2,40,87,1,0.011494252873563218
2022,2,50,103,1,0.009708737864077669
2022,2,60,122,1,0.00819672131147541
2022,2,70,85,1,0.011764705882352941
2022,2,80,85,2,0.023529411764705882
2022,2,90,82,0,0.0
2022,3,10,105,1,0.009523809523809525
2022,3,100,95,3,0.031578947368421054
2022,3,110,97,1,0.010309278350515464
2022,3,120,106,2,0.018867924528301886
2022,3,20,120,3,0.025
2022,3,30,105,2,0.01904761904761905
2022,3,40,90,1,0.011111111111111112
2022,3,50,105,2,0.01904761904761905
2022,3,60,123,3,0.024390243902439025
2022,3,70,85,0,0.0
2022,3,80,86,2,0.023255813953488372
2022,3,90,84,0,0.0
2022,4,10,110,0,0.0
2022,4,100,95,0,0.0
2022,4,110,100,4,0.04
2022,4,120,105,2,0.01904761904761905
2022,4,20,122,2,0.01639344262295082
2022,4,30,106,1,0.009433962264150943
2022,4,40,94,1,0.010638297872340425
2022,4,50,107,0,0.0
2022,4,60,124,3,0.024193548387096774
2022,4,70,88,3,0.03409090909090909
2022,4,80,91,1,0.01098901098901099
2022,4,90,89,1,0.011235955056179775
2022,5,10,115,1,0.008695652173913044
2022,5,100,96,1,0.010416666666666666
2022,5,110,99,1,0.010101010101010102
2022,5,120,108,1,0.009259259259259259
2022,5,20,124,2,0.016129032258064516
2022,5,30,107,1,0.009345794392523364
2022,5,40,96,1,0.010416666666666666
2022,5,50,112,2,0.017857142857142856
2022,5,60,123,3,0.024390243902439025
2022,5,70,92,5,0.05434782608695652
2022,5,80,93,2,0.021505376344086023
2022,5,90,90,0,0.0
2022,6,10,115,3,0.02608695652173913
2022,6,100,97,1,0.010309278350515464
2022,6,110,100,2,0.02
2022,6,120,110,4,0.03636363636363636
2022,6,20,123,1,0.008130081300813009
2022,6,30,112,3,0.026785714285714284
2022,6,40,95,2,0.021052631578947368
2022,6,50,116,2,0.017241379310344827
2022,6,60,123,1,0.008130081300813009
2022,6,70,93,1,0.010752688172043012
2022,6,80,100,1,0.01
2022,6,90,94,2,0.02127659574468085
2022,7,10,117,1,0.008547008547008548
2022,7,100,99,2,0.020202020202020204
2022,7,110,99,2,0.020202020202020204
2022,7,120,107,1,0.009345794392523364
2022,7,20,125,0,0.0
2022,7,30,109,1,0.009174311926605505
2022,7,40,95,2,0.021052631578947368
2022,7,50,116,2,0.017241379310344827
2022,7,60,126,2,0.015873015873015872
2022,7,70,97,0,0.0
2022,7,80,102,0,0.0
2022,7,90,97,2,0.020618556701030927
2022,8,10,120,4,0.03333333333333333
2022,8,100,100,0,0.0
2022,8,110,103,1,0.009708737864077669
2022,8,120,109,1,0.009174311926605505
2022,8,20,127,1,0.007874015748031496
2022,8,30,110,1,0.00909090909090909
2022,8,40,93,0,0.0
2022,8,50,115,2,0.017391304347826087
2022,8,60,126,2,0.015873015873015872
2022,8,70,99,3,0.030303030303030304
2022,8,80,105,2,0.01904761904761905
2022,8,90,98,2,0.02040816326530612
2022,9,10,119,2,0.01680672268907563
2022,9,100,103,0,0.0
2022,9,110,103,0,0.0
2022,9,120,114,1,0.008771929824561403
2022,9,20,134,1,0.007462686567164179
2022,9,30,113,2,0.017699115044247787
2022,9,40,94,1,0.010638297872340425
2022,9,50,115,2,0.017391304347826087
2022,9,60,125,2,0.016
2022,9,70,107,2,0.018691588785046728
2022,9,80,108,3,0.027777777777777776
2022,9,90,101,0,0.0
2022,10,10,119,4,0.03361344537815126
2022,10,100,106,3,0.02830188679245283
2022,10,110,109,0,0.0
2022,10,120,116,0,0.0
2022,10,20,139,1,0.007194244604316547
2022,10,30,114,2,0.017543859649122806
2022,10,40,98,1,0.01020408163265306
2022,10,50,116,0,0.0
2022,10,60,125,3,0.024
2022,10,70,108,2,0.018518518518518517
2022,10,80,107,2,0.018691588785046728
2022,10,90,104,1,0.009615384615384616
2022,11,10,116,2,0.017241379310344827
2022,11,100,105,0,0.0
2022,11,110,112,2,0.017857142857142856
2022,11,120,119,3,0.025210084033613446
2022,11,20,141,2,0.014184397163120567
2022,11,30,113,2,0.017699115044247787
2022,11,40,98,3,0.030612244897959183
2022,11,50,116,1,0.008620689655172414
2022,11,60,123,2,0.016260162601626018
2022,11,70,107,2,0.018691588785046728
2022,11,80,107,3,0.028037383177570093
2022,11,90,110,2,0.01818181818181818
2022,12,10,115,0,0.0
2022,12,100,109,1,0.009174311926605505
2022,12,110,110,1,0.00909090909090909
2022,12,120,116,0,0.0
2022,12,20,141,3,0.02127659574468085
2022,12,30,113,0,0.0
2022,12,40,95,1,0.010526315789473684
2022,12,50,116,2,0.017241379310344827
2022,12,60,121,0,0.0
2022,12,70,107,3,0.028037383177570093
2022,12,80,107,3,0.028037383177570093
2022,12,90,110,0,0.0
2023,1,10,118,1,0.00847457627118644
2023,1,100,111,2,0.018018018018018018
2023,1,110,111,2,0.018018018018018018
2023,1,120,122,0,0.0
2023,1,20,138,0,0.0
2023,1,30,117,0,0.0
2023,1,40,98,2,0.02040816326530612
2023,1,50,116,1,0.008620689655172414
2023,1,60,125,2,0.016
2023,1,70,106,0,0.0
2023,1,80,105,0,0.0
2023,1,90,111,2,0.018018018018018018
2023,2,10,122,1,0.00819672131147541
2023,2,100,110,4,0.03636363636363636
2023,2,110,110,2,0.01818181818181818
2023,2,120,125,0,0.0
2023,2,20,139,2,0.014388489208633094
2023,2,30,121,1,0.008264462809917356
2023,2,40,98,0,0.0
2023,2,50,117,0,0.0
2023,2,60,124,2,0.016129032258064516
2023,2,70,108,2,0.018518518518518517
2023,2,80,106,0,0.0
2023,2,90,112,1,0.008928571428571428
2023,3,10,125,2,0.016
2023,3,100,108,2,0.018518518518518517
2023,3,110,111,1,0.009009009009009009
2023,3,120,128,2,0.015625
2023,3,20,142,4,0.028169014084507043
2023,3,30,126,5,0.03968253968253968
2023,3,40,103,3,0.02912621359223301
2023,3,50,120,1,0.008333333333333333
2023,3,60,126,1,0.007936507936507936
2023,3,70,111,1,0.009009009009009009
2023,3,80,106,1,0.009433962264150943
2023,3,90,114,3,0.02631578947368421
2023,4,10,128,2,0.015625
2023,4,100,112,1,0.008928571428571428
2023,4,110,117,2,0.017094017094017096
2023,4,120,128,1,0.0078125
2023,4,20,143,1,0.006993006993006993
2023,4,30,123,4,0.032520325203252036
2023,4,40,102,2,0.0196078431372549
2023,4,50,125,1,0.008
2023,4,60,126,1,0.007936507936507936
2023,4,70,111,0,0.0
2023,4,80,110,1,0.00909090909090909
2023,4,90,115,0,0.0
2023,5,10,131,2,0.015267175572519083
2023,5,100,115,0,0.0
2023,5,110,119,2,0.01680672268907563
2023,5,120,129,2,0.015503875968992248
