employee_number,transaction_date,effective_date,employee_status_code,employee_type_code,fullpart_time_code,scheduled_fte,job_code,job_family_code,company_code,location_code,org_1_code,org_2_code,last_hire_date,seniority_date,date_in_job,termination_date,termination_reason_code,termination_type_code,salaryhourly_code,earning_group_code,pay_group_code,supervisor_employee_number,orglvl1reportcategory
100005,2021-05-04,2021-05-04,A,RFT,F,1.0,71MKT2,MKTG,WSTMF,108,40,50,2018-01-03,2018-01-03,2021-05-04,,,,S,EG10,PG03,102445.0,Operations
100005,2022-01-15,2022-01-15,L,RFT,F,1.0,71MKT2,MKTG,WSTMF,108,40,50,2018-01-03,2018-01-03,2021-05-04,,,,S,EG10,PG03,102445.0,Operations
100005,2022-03-21,2022-03-21,A,RFT,F,1.0,71MKT2,MKTG,WSTMF,108,40,50,2018-01-03,2018-01-03,2021-05-04,,,,S,EG10,PG03,102445.0,Operations
100005,2022-09-23,2022-09-23,T,RFT,F,1.0,71MKT2,MKTG,WSTMF,108,40,50,2018-01-03,2018-01-03,2021-05-04,2022-09-23,210,I,S,EG10,PG03,102445.0,Operations
100006,2018-01-03,2018-01-03,A,RFT,F,1.0,19ENG2,ENGR,NRTHP,124,40,60,2018-01-03,2018-01-03,2018-01-03,,,,H,EG01,PG05,,Operations
100006,2018-03-13,2018-03-13,A,RFT,F,1.0,20ENG3,ENGR,NRTHP,124,40,60,2018-01-03,2018-01-03,2018-03-13,,,,H,EG03,PG05,,Operations
100006,2022-04-14,2022-04-14,T,RFT,F,1.0,20ENG3,ENGR,NRTHP,124,40,60,2018-01-03,2018-01-03,2018-03-13,2022-04-14,102,V,H,EG03,PG05,,Operations
100007,2018-01-04,2018-01-04,A,RFT,F,1.0,43SAL3,SALES,ALPNC,116,50,10,2018-01-04,2018-01-04,2018-01-04,,,,S,EG10,PG03,,Operations
100007,2018-03-01,2018-03-01,A,RFT,F,1.0,44SAL4,SALES,ALPNC,116,50,10,2018-01-04,2018-01-04,2018-03-01,,,,S,EG09,PG03,,Operations
100007,2023-10-24,2023-10-24,L,RFT,F,1.0,44SAL4,SALES,ALPNC,116,50,10,2018-01-04,2018-01-04,2018-03-01,,,,S,EG09,PG03,,Operations
100007,2024-04-01,2024-04-01,A,RFT,F,1.0,44SAL4,SALES,ALPNC,116,50,10,2018-01-04,2018-01-04,2018-03-01,,,,S,EG09,PG03,,Operations
100007,2025-11-08,2025-11-08,A,RFT,F,1.0,45SAL5,SALES,ALPNC,116,50,10,2018-01-04,2018-01-04,2025-11-08,,,,S,EG06,PG03,,Operations
100008,2018-01-04,2018-01-04,A,RFT,F,1.0,71MKT2,MKTG,PRMRE,123,60,60,2018-01-04,2018-01-04,2018-01-04,,,,H,EG10,PG02,101098.0,Operations
100008,2022-09-28,2022-09-28,A,RFT,F,1.0,89PRO2,PROJ,PRMRE,123,60,60,2018-01-04,2018-01-04,2022-09-28,,,,H,EG06,PG02,101098.0,Operations
100009,2018-01-05,2018-01-05,A,RPT,F,0.79,80ANL4,ANLYT,WSTMF,102,10,40,2018-01-05,2018-01-05,2018-01-05,,,,S,EG05,PG03,,Operations
100009,2018-08-23,2018-08-23,A,RPT,F,0.79,81ANL5,ANLYT,WSTMF,102,10,40,2018-01-05,2018-01-05,2018-08-23,,,,S,EG01,PG03,,Operations
100009,2019-04-07,2019-04-07,T,RPT,F,0.79,81ANL5,ANLYT,WSTMF,102,10,40,2018-01-05,2018-01-05,2018-08-23,2019-04-07,207,I,S,EG01,PG03,,Operations
100010,2018-01-05,2018-01-05,A,RPT,P,0.42,51OPS4,OPS,NRTHP,113,150,50,2018-01-05,2018-01-05,2018-01-05,,,,S,EG07,PG05,,Operations
100010,2018-04-10,2018-04-10,T,RPT,P,0.42,51OPS4,OPS,NRTHP,113,150,50,2018-01-05,2018-01-05,2018-01-05,2018-04-10,100,V,S,EG07,PG05,,Operations
100011,2018-01-05,2018-01-05,A,RFT,F,1.0,61WHS2,WHSE,PRMRE,123,60,20,2018-01-05,2018-01-05,2018-01-05,,,,S,EG01,PG02,101098.0,Operations
100011,2020-01-04,2020-01-04,L,RFT,F,1.0,61WHS2,WHSE,PRMRE,123,60,20,2018-01-05,2018-01-05,2018-01-05,,,,S,EG01,PG02,101098.0,Operations
100011,2020-06-20,2020-06-20,A,RFT,F,1.0,61WHS2,WHSE,PRMRE,123,60,20,2018-01-05,2018-01-05,2018-01-05,,,,S,EG01,PG02,101098.0,Operations
100011,2020-07-13,2020-07-13,L,RFT,F,1.0,61WHS2,WHSE,PRMRE,123,60,20,2018-01-05,2018-01-05,2018-01-05,,,,S,EG01,PG02,101098.0,Operations
100011,2021-01-05,2021-01-05,A,RFT,F,1.0,61WHS2,WHSE,PRMRE,123,60,20,2018-01-05,2018-01-05,2018-01-05,,,,S,EG01,PG02,101098.0,Operations
100011,2024-06-03,2024-06-03,A,RFT,F,1.0,62WHS3,WHSE,PRMRE,123,60,20,2018-01-05,2018-01-05,2024-06-03,,,,S,EG01,PG02,101098.0,Operations
100012,2018-01-08,2018-01-08,A,RFT,F,1.0,79ANL3,ANLYT,WSTMF,104,210,20,2018-01-08,2018-01-08,2018-01-08,,,,S,EG10,PG03,,Operations
100012,2019-06-09,2019-06-09,T,RFT,F,1.0,79ANL3,ANLYT,WSTMF,104,210,20,2018-01-08,2018-01-08,2018-01-08,2019-06-09,101,V,S,EG10,PG03,,Operations
100013,2018-01-08,2018-01-08,A,RPT,P,0.73,26HR2,HR,PRMRE,100,60,30,2018-01-08,2018-01-08,2018-01-08,,,,H,EG03,PG02,,Operations
100013,2020-01-17,2020-01-17,T,RPT,P,0.73,26HR2,HR,PRMRE,100,60,30,2018-01-08,2018-01-08,2018-01-08,2020-01-17,207,I,H,EG03,PG02,,Operations
100014,2018-01-08,2018-01-08,A,RFT,F,1.0,26HR2,HR,WSTMF,102,240,120,2018-01-08,2018-01-08,2018-01-08,,,,H,EG03,PG03,101786.0,Operations
100014,2019-01-27,2019-01-27,T,RFT,F,1.0,26HR2,HR,WSTMF,102,240,120,2018-01-08,2018-01-08,2018-01-08,2019-01-27,100,V,H,EG03,PG03,101786.0,Operations
100015,2018-01-08,2018-01-08,A,RFT,F,1.0,55TRD1,TRD,WSTMF,102,230,20,2018-01-08,2018-01-08,2018-01-08,,,,S,EG04,PG03,102105.0,Operations
100015,2020-07-13,2020-07-13,T,RFT,F,1.0,55TRD1,TRD,WSTMF,102,230,20,2018-01-08,2018-01-08,2018-01-08,2020-07-13,103,V,S,EG04,PG03,102105.0,Operations
100016,2018-01-09,2018-01-09,A,RFT,F,1.0,50OPS3,OPS,WSTMF,115,90,90,2018-01-09,2018-01-09,2018-01-09,,,,S,EG06,PG03,102088.0,Operations
100016,2018-10-17,2018-10-17,A,RFT,F,1.0,51OPS4,OPS,WSTMF,115,90,90,2018-01-09,2018-01-09,2018-10-17,,,,S,EG07,PG03,102088.0,Operations
100016,2019-07-07,2019-07-07,L,RFT,F,1.0,51OPS4,OPS,WSTMF,115,90,90,2018-01-09,2018-01-09,2018-10-17,,,,S,EG07,PG03,102088.0,Operations
100016,2019-08-12,2019-08-12,A,RFT,F,1.0,51OPS4,OPS,WSTMF,115,90,90,2018-01-09,2018-01-09,2018-10-17,,,,S,EG07,PG03,102088.0,Operations
100016,2021-01-24,2021-01-24,T,RFT,F,1.0,51OPS4,OPS,WSTMF,115,90,90,2018-01-09,2018-01-09,2018-10-17,2021-01-24,100,V,S,EG07,PG03,102088.0,Operations
100017,2018-01-09,2018-01-09,A,RPT,P,0.7,13CSR1,CSR,WSTMF,118,190,50,2018-01-09,2018-01-09,2018-01-09,,,,H,EG01,PG03,102992.0,Operations
100017,2023-03-26,2023-03-26,T,RPT,P,0.7,13CSR1,CSR,WSTMF,118,190,50,2018-01-09,2018-01-09,2018-01-09,2023-03-26,200,I,H,EG01,PG03,102992.0,Operations
100018,2018-01-12,2018-01-12,A,RFT,F,1.0,96LEG4,LEGAL,NRTHP,119,100,10,2018-01-12,2018-01-12,2018-01-12,,,,S,EG10,PG05,,Operations
100018,2024-06-04,2024-06-04,T,RFT,F,1.0,96LEG4,LEGAL,NRTHP,119,100,10,2018-01-12,2018-01-12,2018-01-12,2024-06-04,205,I,S,EG10,PG05,,Operations
100019,2018-01-12,2018-01-12,A,RFT,F,1.0,29HR5,HR,NRTHP,111,110,10,2018-01-12,2018-01-12,2018-01-12,,,,S,EG07,PG05,,Operations
100020,2018-01-15,2018-01-15,A,RPT,P,0.68,34IT2,IT,WSTMF,118,150,20,2018-01-15,2018-01-15,2018-01-15,,,,H,EG08,PG03,,Operations
100020,2019-01-27,2019-01-27,T,RPT,P,0.68,34IT2,IT,WSTMF,118,150,20,2018-01-15,2018-01-15,2018-01-15,2019-01-27,100,V,H,EG08,PG03,,Operations
100021,2018-01-17,2018-01-17,A,RPT,P,0.65,02ADM2,ADMIN,ALPNC,115,80,90,2018-01-17,2018-01-17,2018-01-17,,,,H,EG04,PG03,101251.0,Operations
100021,2019-08-02,2019-08-02,L,RPT,P,0.65,02ADM2,ADMIN,ALPNC,115,80,90,2018-01-17,2018-01-17,2018-01-17,,,,H,EG04,PG03,101251.0,Operations
100021,2019-12-13,2019-12-13,A,RPT,P,0.65,02ADM2,ADMIN,ALPNC,115,80,90,2018-01-17,2018-01-17,2018-01-17,,,,H,EG04,PG03,101251.0,Operations
100022,2018-01-18,2018-01-18,A,RFT,F,1.0,09ACC4,ACCTG,ALPNC,104,120,90,2018-01-18,2018-01-18,2018-01-18,,,,S,EG05,PG03,,Operations
100022,2018-02-23,2018-02-23,T,RFT,F,1.0,09ACC4,ACCTG,ALPNC,104,120,90,2018-01-18,2018-01-18,2018-01-18,2018-02-23,201,I,S,EG05,PG03,,Operations
100023,2018-01-18,2018-01-18,A,RFT,F,1.0,61WHS2,WHSE,ALPNC,112,230,70,2018-01-18,2018-01-18,2018-01-18,,,,S,EG01,PG03,,Operations
100023,2018-06-17,2018-06-17,T,RFT,F,1.0,61WHS2,WHSE,ALPNC,112,230,70,2018-01-18,2018-01-18,2018-01-18,2018-06-17,205,I,S,EG01,PG03,,Operations
100024,2018-01-18,2018-01-18,A,RFT,F,1.0,83SUP4,SUPV,ALPNC,100,200,30,2018-01-18,2018-01-18,2018-01-18,,,,S,EG01,PG03,,Operations
100024,2019-01-20,2019-01-20,A,RFT,F,1.0,85SUP5,SUPV,ALPNC,100,200,30,2018-01-18,2018-01-18,2019-01-20,,,,S,EG01,PG03,,Operations
100024,2019-10-09,2019-10-09,T,RFT,F,1.0,85SUP5,SUPV,ALPNC,100,200,30,2018-01-18,2018-01-18,2019-01-20,2019-10-09,202,V,S,EG01,PG03,,Operations
100025,2018-01-19,2018-01-19,A,RFT,F,1.0,43SAL3,SALES,WSTMF,100,160,30,2018-01-19,2018-01-19,2018-01-19,,,,S,EG10,PG03,102626.0,Operations
100025,2019-08-23,2019-08-23,A,RFT,F,1.0,44SAL4,SALES,WSTMF,100,160,30,2018-01-19,2018-01-19,2019-08-23,,,,S,EG09,PG03,102626.0,Operations
100025,2021-10-16,2021-10-16,T,RFT,F,1.0,44SAL4,SALES,WSTMF,100,160,30,2018-01-19,2018-01-19,2019-08-23,2021-10-16,205,I,S,EG09,PG03,102626.0,Operations
100026,2018-01-19,2018-01-19,A,RFT,F,1.0,60WHS1,WHSE,PRMRE,116,30,60,2018-01-19,2018-01-19,2018-01-19,,,,H,EG06,PG02,102136.0,Operations
100026,2020-06-24,2020-06-24,A,RFT,F,1.0,61WHS2,WHSE,PRMRE,116,30,60,2018-01-19,2018-01-19,2020-06-24,,,,H,EG01,PG02,102136.0,Operations
100026,2021-01-17,2021-01-17,T,RFT,F,1.0,61WHS2,WHSE,PRMRE,116,30,60,2018-01-19,2018-01-19,2020-06-24,2021-01-17,202,V,H,EG01,PG02,102136.0,Operations
100027,2018-01-19,2018-01-19,A,RPT,P,0.72,36IT3,IT,WSTMF,118,90,10,2018-01-19,2018-01-19,2018-01-19,,,,S,EG07,PG03,102839.0,Operations
100027,2024-09-12,2024-09-12,A,RPT,P,0.72,62WHS3,WHSE,WSTMF,118,90,10,2018-01-19,2018-01-19,2024-09-12,,,,S,EG01,PG03,102839.0,Operations
100028,2018-01-19,2018-01-19,A,RPT,P,0.63,79ANL3,ANLYT,WSTMF,122,240,70,2018-01-19,2018-01-19,2018-01-19,,,,S,EG10,PG03,102139.0,Operations
100028,2018-09-10,2018-09-10,L,RPT,P,0.63,79ANL3,ANLYT,WSTMF,122,240,70,2018-01-19,2018-01-19,2018-01-19,,,,S,EG10,PG03,102139.0,Operations
100028,2018-12-09,2018-12-09,A,RPT,P,0.63,79ANL3,ANLYT,WSTMF,122,240,70,2018-01-19,2018-01-19,2018-01-19,,,,S,EG10,PG03,102139.0,Operations
100028,2021-08-31,2021-08-31,A,RPT,P,0.63,80ANL4,ANLYT,WSTMF,122,240,70,2018-01-19,2018-01-19,2021-08-31,,,,S,EG05,PG03,102139.0,Operations
100028,2022-05-18,2022-05-18,T,RPT,P,0.63,80ANL4,ANLYT,WSTMF,122,240,70,2018-01-19,2018-01-19,2021-08-31,2022-05-18,100,V,S,EG05,PG03,102139.0,Operations
100029,2018-01-22,2018-01-22,A,RFT,F,1.0,20ENG3,ENGR,WSTMF,118,60,60,2018-01-22,2018-01-22,2018-01-22,,,,S,EG03,PG03,102844.0,Operations
100029,2018-11-14,2018-11-14,T,RFT,F,1.0,20ENG3,ENGR,WSTMF,118,60,60,2018-01-22,2018-01-22,2018-01-22,2018-11-14,100,V,S,EG03,PG03,102844.0,Operations
100030,2018-01-23,2018-01-23,A,CON,F,1.0,19ENG2,ENGR,WSTMF,115,240,30,2018-01-23,2018-01-23,2018-01-23,,,,H,EG01,PG03,102901.0,Operations
100031,2018-01-23,2018-01-23,A,RFT,F,1.0,32IT1,IT,PRMRE,105,200,120,2018-01-23,2018-01-23,2018-01-23,,,,H,EG03,PG02,101074.0,Operations
100031,2025-11-22,2025-11-22,A,RFT,F,1.0,33IT2,IT,PRMRE,105,200,120,2018-01-23,2018-01-23,2025-11-22,,,,H,EG09,PG02,101074.0,Operations
100032,2018-01-24,2018-01-24,A,RFT,F,1.0,13CSR1,CSR,NRTHP,117,40,10,2018-01-24,2018-01-24,2018-01-24,,,,H,EG01,PG05,100480.0,Operations
100033,2018-01-24,2018-01-24,A,RPT,P,0.73,07ACC2,ACCTG,WSTMF,122,100,50,2018-01-24,2018-01-24,2018-01-24,,,,S,EG03,PG03,101678.0,Operations
100033,2018-03-01,2018-03-01,T,RPT,P,0.73,07ACC2,ACCTG,WSTMF,122,100,50,2018-01-24,2018-01-24,2018-01-24,2018-03-01,103,V,S,EG03,PG03,101678.0,Operations
100034,2018-01-24,2018-01-24,A,RFT,F,1.0,61WHS2,WHSE,PRMRE,102,130,80,2018-01-24,2018-01-24,2018-01-24,,,,H,EG01,PG02,102468.0,Operations
100034,2019-02-21,2019-02-21,T,RFT,F,1.0,61WHS2,WHSE,PRMRE,102,130,80,2018-01-24,2018-01-24,2018-01-24,2019-02-21,103,V,H,EG01,PG02,102468.0,Operations
100035,2018-02-01,2018-02-01,A,RFT,F,1.0,94LEG2,LEGAL,PRMRE,116,10,60,2018-02-01,2018-02-01,2018-02-01,,,,S,EG02,PG02,102461.0,Operations
100035,2020-11-02,2020-11-02,T,RFT,F,1.0,94LEG2,LEGAL,PRMRE,116,10,60,2018-02-01,2018-02-01,2018-02-01,2020-11-02,101,V,S,EG02,PG02,102461.0,Operations
100036,2018-02-02,2018-02-02,A,RFT,F,1.0,03ADM3,ADMIN,NRTHP,114,220,80,2018-02-02,2018-02-02,2018-02-02,,,,S,EG07,PG05,,Operations
100036,2018-04-16,2018-04-16,A,RFT,F,1.0,04ADM4,ADMIN,NRTHP,114,220,80,2018-02-02,2018-02-02,2018-04-16,,,,S,EG06,PG05,,Operations
100036,2018-11-23,2018-11-23,T,RFT,F,1.0,04ADM4,ADMIN,NRTHP,114,220,80,2018-02-02,2018-02-02,2018-04-16,2018-11-23,100,V,S,EG06,PG05,,Operations
100037,2018-02-02,2018-02-02,A,TAW,F,1.0,35IT3,IT,WSTMF,124,30,100,2018-02-02,2018-02-02,2018-02-02,,,,S,EG08,PG03,101397.0,Operations
100037,2018-06-29,2018-06-29,A,TAW,F,1.0,37IT4,IT,WSTMF,124,30,100,2018-02-02,2018-02-02,2018-06-29,,,,S,EG04,PG03,101397.0,Operations
100037,2018-11-14,2018-11-14,T,TAW,F,1.0,37IT4,IT,WSTMF,124,30,100,2018-02-02,2018-02-02,2018-06-29,2018-11-14,201,I,S,EG04,PG03,101397.0,Operations
100038,2018-02-02,2018-02-02,A,RFT,F,1.0,44SAL4,SALES,ALPNC,115,60,60,2018-02-02,2018-02-02,2018-02-02,,,,S,EG09,PG03,,Operations
100039,2018-02-02,2018-02-02,A,RFT,F,1.0,32IT1,IT,ALPNC,119,30,90,2018-02-02,2018-02-02,2018-02-02,,,,S,EG03,PG03,,Operations
100039,2019-03-28,2019-03-28,A,RFT,F,1.0,33IT2,IT,ALPNC,119,30,90,2018-02-02,2018-02-02,2019-03-28,,,,S,EG09,PG03,,Operations
100039,2021-11-20,2021-11-20,T,RFT,F,1.0,33IT2,IT,ALPNC,119,30,90,2018-02-02,2018-02-02,2019-03-28,2021-11-20,100,V,S,EG09,PG03,,Operations
100040,2018-02-02,2018-02-02,A,RFT,F,1.0,01ADM1,ADMIN,WSTMF,106,10,60,2018-02-02,2018-02-02,2018-02-02,,,,H,EG05,PG03,102926.0,Operations
100040,2020-11-26,2020-11-26,T,RFT,F,1.0,01ADM1,ADMIN,WSTMF,106,10,60,2018-02-02,2018-02-02,2018-02-02,2020-11-26,202,V,H,EG05,PG03,102926.0,Operations
100041,2018-02-02,2018-02-02,A,RFT,F,1.0,48OPS1,OPS,WSTMF,106,70,40,2018-02-02,2018-02-02,2018-02-02,,,,S,EG03,PG03,101220.0,Operations
100041,2018-09-26,2018-09-26,T,RFT,F,1.0,48OPS1,OPS,WSTMF,106,70,40,2018-02-02,2018-02-02,2018-02-02,2018-09-26,100,V,S,EG03,PG03,101220.0,Operations
100042,2018-02-05,2018-02-05,A,RFT,F,1.0,56TRD2,TRD,WSTMF,100,150,50,2018-02-05,2018-02-05,2018-02-05,,,,S,EG02,PG03,,Operations
100042,2020-04-06,2020-04-06,T,RFT,F,1.0,56TRD2,TRD,WSTMF,100,150,50,2018-02-05,2018-02-05,2018-02-05,2020-04-06,201,I,S,EG02,PG03,,Operations
100043,2018-02-06,2018-02-06,A,RPT,F,0.78,26HR2,HR,WSTMF,102,70,80,2018-02-06,2018-02-06,2018-02-06,,,,S,EG03,PG03,102708.0,Operations
100043,2019-05-25,2019-05-25,A,RPT,F,0.78,42SAL2,SALES,WSTMF,102,70,80,2018-02-06,2018-02-06,2019-05-25,,,,S,EG10,PG03,102708.0,Operations
100043,2019-11-11,2019-11-11,T,RPT,F,0.78,42SAL2,SALES,WSTMF,102,70,80,2018-02-06,2018-02-06,2019-05-25,2019-11-11,207,I,S,EG10,PG03,102708.0,Operations
100044,2018-02-07,2018-02-07,A,RFT,F,1.0,94LEG2,LEGAL,PRMRE,117,130,120,2018-02-07,2018-02-07,2018-02-07,,,,H,EG02,PG02,101323.0,Operations
100044,2024-04-05,2024-04-05,A,RFT,F,1.0,95LEG3,LEGAL,PRMRE,117,130,120,2018-02-07,2018-02-07,2024-04-05,,,,H,EG05,PG02,101323.0,Operations
100045,2018-02-09,2018-02-09,A,RFT,F,1.0,61WHS2,WHSE,NRTHP,122,210,20,2018-02-09,2018-02-09,2018-02-09,,,,H,EG01,PG05,101716.0,Operations
100045,2020-05-29,2020-05-29,T,RFT,F,1.0,61WHS2,WHSE,NRTHP,122,210,20,2018-02-09,2018-02-09,2018-02-09,2020-05-29,206,I,H,EG01,PG05,101716.0,Operations
100046,2018-02-09,2018-02-09,A,RFT,F,1.0,43SAL3,SALES,ALPNC,104,60,20,2018-02-09,2018-02-09,2018-02-09,,,,S,EG10,PG03,101066.0,Operations
100046,2018-06-22,2018-06-22,L,RFT,F,1.0,43SAL3,SALES,ALPNC,104,60,20,2018-02-09,2018-02-09,2018-02-09,,,,S,EG10,PG03,101066.0,Operations
100046,2018-11-28,2018-11-28,A,RFT,F,1.0,43SAL3,SALES,ALPNC,104,60,20,2018-02-09,2018-02-09,2018-02-09,,,,S,EG10,PG03,101066.0,Operations
100046,2018-11-14,2018-11-14,A,RFT,F,1.0,15CSR3,CSR,ALPNC,104,60,20,2018-02-09,2018-02-09,2018-11-14,,,,S,EG10,PG03,101066.0,Operations
100046,2024-08-24,2024-08-24,T,RFT,F,1.0,15CSR3,CSR,ALPNC,104,60,20,2018-02-09,2018-02-09,2018-11-14,2024-08-24,202,V,S,EG10,PG03,101066.0,Operations
100047,2018-02-09,2018-02-09,A,RFT,F,1.0,56TRD2,TRD,PRMRE,115,110,10,2018-02-09,2018-02-09,2018-02-09,,,,H,EG02,PG02,102872.0,Operations
100047,2019-10-02,2019-10-02,T,RFT,F,1.0,56TRD2,TRD,PRMRE,115,110,10,2018-02-09,2018-02-09,2018-02-09,2019-10-02,200,I,H,EG02,PG02,102872.0,Operations
100048,2018-02-09,2018-02-09,A,RFT,F,1.0,90PRO3,PROJ,WSTMF,118,60,50,2018-02-09,2018-02-09,2018-02-09,,,,S,EG04,PG03,102844.0,Operations
100048,2019-06-26,2019-06-26,A,RFT,F,1.0,15CSR3,CSR,WSTMF,118,60,50,2018-02-09,2018-02-09,2019-06-26,,,,S,EG10,PG03,102844.0,Operations
100048,2021-12-30,2021-12-30,A,RFT,F,1.0,67TEC3,TECH,WSTMF,118,60,50,2018-02-09,2018-02-09,2021-12-30,,,,S,EG10,PG03,102844.0,Operations
100049,2018-02-12,2018-02-12,A,RFT,F,1.0,41SAL1,SALES,ALPNC,102,150,110,2018-02-12,2018-02-12,2018-02-12,,,,S,EG08,PG03,100842.0,Operations
100049,2022-06-02,2022-06-02,A,RFT,F,1.0,01ADM1,ADMIN,ALPNC,102,150,110,2018-02-12,2018-02-12,2022-06-02,,,,S,EG05,PG03,100842.0,Operations
100049,2023-06-02,2023-06-02,A,RFT,F,1.0,13CSR1,CSR,ALPNC,102,150,110,2018-02-12,2018-02-12,2023-06-02,,,,S,EG01,PG03,100842.0,Operations
100049,2025-02-04,2025-02-04,T,RFT,F,1.0,13CSR1,CSR,ALPNC,102,150,110,2018-02-12,2018-02-12,2023-06-02,2025-02-04,207,I,S,EG01,PG03,100842.0,Operations
100050,2018-02-12,2018-02-12,A,TAW,F,1.0,26HR2,HR,NRTHP,112,70,60,2018-02-12,2018-02-12,2018-02-12,,,,H,EG03,PG05,,Operations
100050,2019-09-23,2019-09-23,T,TAW,F,1.0,26HR2,HR,NRTHP,112,70,60,2018-02-12,2018-02-12,2018-02-12,2019-09-23,201,I,H,EG03,PG05,,Operations
100051,2018-02-13,2018-02-13,A,TFT,F,1.0,13CSR1,CSR,NRTHP,103,170,40,2018-02-13,2018-02-13,2018-02-13,,,,H,EG01,PG05,,Operations
100051,2018-07-03,2018-07-03,T,TFT,F,1.0,13CSR1,CSR,NRTHP,103,170,40,2018-02-13,2018-02-13,2018-02-13,2018-07-03,210,I,H,EG01,PG05,,Operations
100052,2018-02-13,2018-02-13,A,CON,F,1.0,09ACC4,ACCTG,ALPNC,121,110,110,2018-02-13,2018-02-13,2018-02-13,,,,S,EG05,PG03,100624.0,Operations
100052,2019-01-15,2019-01-15,T,CON,F,1.0,09ACC4,ACCTG,ALPNC,121,110,110,2018-02-13,2018-02-13,2018-02-13,2019-01-15,102,V,S,EG05,PG03,100624.0,Operations
100053,2018-02-14,2018-02-14,A,RFT,F,1.0,55TRD1,TRD,NRTHP,102,130,50,2018-02-14,2018-02-14,2018-02-14,,,,H,EG04,PG05,102468.0,Operations
100053,2021-01-13,2021-01-13,T,RFT,F,1.0,55TRD1,TRD,NRTHP,102,130,50,2018-02-14,2018-02-14,2018-02-14,2021-01-13,102,V,H,EG04,PG05,102468.0,Operations
100054,2018-02-15,2018-02-15,A,RFT,F,1.0,05ACC1,ACCTG,WSTMF,102,60,30,2018-02-15,2018-02-15,2018-02-15,,,,S,EG05,PG03,101520.0,Operations
100054,2020-10-10,2020-10-10,L,RFT,F,1.0,05ACC1,ACCTG,WSTMF,102,60,30,2018-02-15,2018-02-15,2018-02-15,,,,S,EG05,PG03,101520.0,Operations
100054,2020-11-28,2020-11-28,A,RFT,F,1.0,05ACC1,ACCTG,WSTMF,102,60,30,2018-02-15,2018-02-15,2018-02-15,,,,S,EG05,PG03,101520.0,Operations
100055,2018-02-16,2018-02-16,A,TAW,F,1.0,09ACC4,ACCTG,ALPNC,119,200,50,2018-02-16,2018-02-16,2018-02-16,,,,S,EG05,PG03,,Operations
100055,2018-03-13,2018-03-13,T,TAW,F,1.0,09ACC4,ACCTG,ALPNC,119,200,50,2018-02-16,2018-02-16,2018-02-16,2018-03-13,201,I,S,EG05,PG03,,Operations
100056,2018-02-16,2018-02-16,A,RPT,P,0.7,41SAL1,SALES,WSTMF,113,220,50,2018-02-16,2018-02-16,2018-02-16,,,,S,EG08,PG03,102968.0,Operations
100057,2018-02-20,2018-02-20,A,RPT,P,0.42,56TRD2,TRD,ALPNC,102,200,10,2018-02-20,2018-02-20,2018-02-20,,,,H,EG02,PG03,,Operations
100057,2022-08-24,2022-08-24,T,RPT,P,0.42,56TRD2,TRD,ALPNC,102,200,10,2018-02-20,2018-02-20,2018-02-20,2022-08-24,201,I,H,EG02,PG03,,Operations
