job_code,job_family_code,job,job_level,is_supervisor,is_staff,noc_group,work_environment_code
61WHS2,WHSE,Warehouse Clerk,intermediate,False,False,,F
62WHS3,WHSE,Senior Warehouse Clerk,senior,False,True,,F
63WHS4,WHSE,Warehouse Lead,lead,True,True,,F
64WHS5,WHSE,Warehouse Manager,manager,True,True,,O
65TEC1,TECH,Field Technician,entry,False,False,,F
66TEC2,TECH,Service Technician,intermediate,False,False,,F
67TEC3,TECH,Senior Service Technician,senior,False,True,,F
68TEC4,TECH,Technical Specialist,lead,True,True,,F
69TEC5,TECH,Technical Services Manager,manager,True,True,,O
70MKT1,MKTG,Marketing Coordinator,entry,False,False,,F
71MKT2,MKTG,Marketing Specialist,intermediate,False,False,,F
72MKT3,MKTG,Senior Marketing Specialist,senior,False,True,,F
73MKT4,MKTG,Marketing Lead,lead,True,True,,F
74MKT5,MKTG,Marketing Manager,manager,True,True,,O
75MKT6,MKTG,Director of Marketing,director,True,True,,O
76MKT7,MKTG,Chief Marketing Officer,executive,True,True,,O
77ANL1,ANLYT,Data Analyst,entry,False,False,,F
78ANL2,ANLYT,Business Analyst,intermediate,False,False,,F
79ANL3,ANLYT,Senior Data Analyst,senior,False,True,,F
80ANL4,ANLYT,Analytics Lead,lead,True,True,,F
81ANL5,ANLYT,Analytics Manager,manager,True,True,,O
82ANL6,ANLYT,Director of Analytics,director,True,True,,O
83SUP4,SUPV,Shift Supervisor,lead,True,True,,F
84SUP5,SUPV,Area Supervisor,manager,True,True,,O
85SUP5,SUPV,Regional Supervisor,manager,True,True,,O
86EXE7,EXEC,Chief Executive Officer,executive,True,True,,O
87EXE7,EXEC,President,executive,True,True,,O
88EXE6,EXEC,Vice President,director,True,True,,O
89PRO2,PROJ,Project Coordinator,intermediate,False,False,,F
90PRO3,PROJ,Project Manager,senior,False,True,,F
91PRO4,PROJ,Senior Project Manager,lead,True,True,,F
92PRO5,PROJ,Program Manager,manager,True,True,,O
93PRO6,PROJ,Director of PMO,director,True,True,,O
94LEG2,LEGAL,Paralegal,intermediate,False,False,,F
95LEG3,LEGAL,Legal Counsel,senior,False,True,,F
96LEG4,LEGAL,Senior Legal Counsel,lead,True,True,,F
97LEG6,LEGAL,General Counsel,director,True,True,,O
